Langue;Sexe;Date de naissance;Code postal;Ville;Pays
fr;M;18/06/1973;1620;Drogenbos;Belgium
fr;F;24/03/1986;1180;Uccle;Belgium
fr;F;02/12/2013;1420;Braine l ‘ Alleud;Belgium
fr;M;28/11/2019;1180;Uccle;Belgium
fr;F;09/08/2008;1190;Forest;Belgium
fr;M;23/05/2018;1190;Forest;Belgium
fr;F;03/12/2020;1190;brussel;Belgium
fr;F;10/06/2011;1190;Forest;Belgium
fr;M;22/11/2015;1730;Asse;Belgium
fr;M;08/12/2011;1730;Asse;Belgium
fr;M;18/07/2002;1652;Beersel;Belgium
fr;F;08/08/1995;1190;FOREST;Belgium
fr;F;24/12/1951;1190 ;BRUXELLES 19;Belgium
fr;M;13/02/1985;1050;BRUXELLES 6;Belgium
fr;F;29/07/2014;1190;Forest;Belgium
fr;F;20/02/2021;1601;Sint pieters leeuw;Belgium
fr;F;04/03/1978;1440;Whauthier braine;Belgium
fr;M;30/09/2007;1180;Bruxelles;Belgium
fr;M;17/07/1960;1050;ixelles;Belgium
fr;M;12/05/2019;1190;Forest;Belgium
fr;M;19/04/2010;1180;Uccle;Belgium
fr;M;15/09/1999;1000;Brussels, Belgium;Belgium
fr;M;11/02/2004;1180;Uccle;Belgium
fr;F;11/06/1978;1652;Alsemberg;Belgium
fr;F;31/05/1978;1180;Bruxelles;Belgium
fr;F;29/01/1975;1420;Braine l'Alleud;Belgium
fr;F;24/01/1988;1640;Rhode Saint Genèse;Belgium
fr;F;24/05/1999;1700;Dilbeek;Belgium
fr;M;24/09/2011;1180;Uccle;Belgium
fr;F;05/02/2014;1180;Uccle;Belgium
fr;M;18/09/2007;1652;Beersel;Belgium
fr;F;06/02/2020;1650;Beersel;Belgium
fr;F;22/06/1982;1653;Dworp;Belgium
fr;M;05/05/2014;1180;UCCLE;Belgium
fr;M;12/06/1985;1380;PLANCENOIT;Belgium
fr;F;31/07/1984;1731;Relegem;Belgium
fr;F;19/04/2012;1620;Drogenbos;Belgium
fr;F;28/06/1982;1180;Uccle;Belgium
fr;F;18/12/1997;1620;Drogenbos;Belgium
fr;F;18/02/2007;1180;Uccle;Belgium
fr;F;16/08/2011;1630;Linkebeek;Belgium
fr;F;10/05/2010;7181;Petit-Roeulx-lez-Nivelles;Belgium
fr;M;01/04/2013;1180;Uccle;Belgium
fr;M;03/07/2014;1180;Uccle;Belgium
fr;M;18/06/2013;1180;UCCLE;Belgium
fr;M;07/02/2000;1330;RIXENSART;Belgium
fr;F;27/01/1977;1650;Beersel;Belgium
fr;M;21/09/2017;1180;Uccle;Belgium
fr;M;06/10/2020;1180;Uccle;Belgium
